CONTRACTID,TITLE,TOTALOPTIONYEARS,CURRENTOPTIONYEAR,CITYWIDE,AGENCY,AGENCYNAME,PROCUREMENTMETHOD,CONTRACTTYPE,MARKETTYPE,AMOUNT,LASTMODIFIED,CONTRACTSTATUS,AWARDDATE,EFFECTIVEDATE,EXPIRATIONDATE,OWNER,CONTRACTINGOFFICER,SUPPLIER,AWARDDOC,COMMODITY,SOLICITATIONID,DSC_LAST_MOD_DTTM,OBJECTID
CW8980,BPA - DCJZ-2011-A-0249 Morgans Inc,4.000000000000000,Base Period,,JZ0,DEPART OF YOUTH REHABILITATION SERVICES,GSA (Federal Supply Schedule),Indefinite Delivery Indefinite Quantity,Set Aside,28683.5,2012-10-03T19:13:00.000Z,Closed,2011-05-02T00:00:00.000Z,2011-05-02T00:00:00.000Z,2012-05-01T00:00:00.000Z,Rebecca Young,Derrick White,MORGANS INC,,9982600 : Clothing,,2018-07-12T16:10:47.000Z,6318
CW11812,DCJZ-2011-A-0249 Morgans inc T_A Jimmie Mucatello's,0.000000000000000,Base Period,,JZ0,DEPART OF YOUTH REHABILITATION SERVICES,Small Purchase,Indefinite Delivery Indefinite Quantity,Set Aside,28683.5,2012-10-03T19:37:00.000Z,Closed,2011-05-02T00:00:00.000Z,2011-05-02T00:00:00.000Z,2012-05-01T00:00:00.000Z,Rebecca Young,Derrick White,MORGANS INC,,9982600 : Clothing,,2018-07-12T16:10:47.000Z,6319
CW9022,Office Supplies-Goods-Department of Parks and Recreation-Metropolitan Office Products,0.000000000000000,Base Period,,HA0,DEPARTMENT OF PARKS AND RECREATION,DC Supply Schedule,Firm Fixed Price,Open,65167.6,2014-03-13T15:43:00.000Z,Closed,2011-05-02T00:00:00.000Z,2011-05-02T00:00:00.000Z,2011-09-30T00:00:00.000Z,Ruby Nelson,Angela Turner,METROPOLITAN OFFICE PRODUCTS,,9980800 : Arts and Crafts,,2018-07-12T16:10:47.000Z,6320
CW9024,Goods-Blanket Purchase Agreement (BPA) District Department of Environment-Metropolitan Office Products,0.000000000000000,Base Period,,KG0,DEPARTMENT OF ENERGY AND ENVIRONMENT,DC Supply Schedule,Firm Fixed Price,Open,10000,2014-03-13T15:45:00.000Z,Closed,2011-05-04T00:00:00.000Z,2011-05-04T00:00:00.000Z,2011-09-30T00:00:00.000Z,Ruby Nelson,Angela Turner,METROPOLITAN OFFICE PRODUCTS,,"6157341 : FOLDERS, FILE, RECYCLED",,2018-07-12T16:10:47.000Z,6321
CW9004,IT - CCTV Upgrade - MVS Inc.,0.000000000000000,Base Period,,BN0,HOMELAND SECURITY/EMERGENCY MANAGEMENT,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,389113.44,2013-08-30T16:34:00.000Z,Closed,2011-05-04T00:00:00.000Z,2011-05-04T00:00:00.000Z,2011-07-04T00:00:00.000Z,Chi Hui Yi,"Reid, Lindel","MVS, Inc.",,"5509156 : PARTS AND ACCESSORIES, VIDEO IMAGING AND SURVEILLANCE CLOSED CIRCUIT TELEVISION CAMERA (CCTV)",,2018-07-12T16:10:47.000Z,6322
CW13945,Design and Pilot of Energy Efficiency Finance Program,4.000000000000000,Base Period,,KG0,DEPARTMENT OF ENERGY AND ENVIRONMENT,Competitive Sealed Proposal (RFP),Cost Plus Fixed Fee,Open,823415,2013-04-11T19:47:00.000Z,Expired,2011-05-13T00:00:00.000Z,2011-05-13T00:00:00.000Z,2012-09-30T00:00:00.000Z,Lindel Reid,Jacqueline McDonald,Urban Energy Advisors LLC,,9464800 : Financial Advisor,,2018-07-12T16:10:47.000Z,6323
CW20793,Anchor Mental Health Association,2.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Human Care Agreements,Indefinite Delivery Indefinite Quantity,Open,50000,2013-03-15T14:42:00.000Z,Closed,2010-05-15T00:00:00.000Z,2011-05-15T00:00:00.000Z,2013-05-14T00:00:00.000Z,Monica Brown,Marsha L. Robinson,ANCHOR MENTAL HEALTH ASSN. INC,,9523900 : Employment Generating Activities,,2018-07-12T16:10:47.000Z,6324
CW9282,Evidence Based Supported Employment - Anchor 5-23-11,3.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Human Care Agreements,Indefinite Delivery Indefinite Quantity,Open,50000,2012-02-28T21:19:00.000Z,Expired,2011-05-15T00:00:00.000Z,2011-05-15T00:00:00.000Z,2012-05-14T00:00:00.000Z,Monica Brown,Marsha L. Robinson,ANCHOR MENTAL HEALTH ASSN. INC,,9523900 : Employment Generating Activities,,2018-07-12T16:10:47.000Z,6325
CW8858,RFP - IT - MV Solutions Inc.,2.000000000000000,Base Period,,KV0,DEPARTMENT OF MOTOR VEHICLES,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,300000,2015-08-05T17:14:00.000Z,Expired,2011-04-29T00:00:00.000Z,2011-05-15T00:00:00.000Z,2012-05-14T00:00:00.000Z,Angela Turner,"Reid, Lindel",MV Solutions Inc.,,9180000 : CONSULTING SERVICES,,2018-07-12T16:10:47.000Z,6326
CW9487,IT-Internet Services (DCPO-2011-C-0027)AboveNet,3.000000000000000,Base Period,0,TO0,OFFICE OF CHIEF TECHNOLOGY OFFICER,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,201000,2011-06-01T16:33:00.000Z,Expired,2011-05-17T00:00:00.000Z,2011-05-17T00:00:00.000Z,2012-05-16T00:00:00.000Z,Sanaz Etminan,"Reid, Lindel","Abovenet Communications, Inc.",,9157900 : Telecommunication Services (Not Otherwise Classified),,2018-07-12T16:10:47.000Z,6327
POJA-2006-H-0040-09,Koba Institute Inc.,0.000000000000000,Option 3,,JZ0,DEPART OF YOUTH REHABILITATION SERVICES,Human Care Agreements,Firm Fixed Price,Open,900000,2010-08-23T20:58:00.000Z,Closed,2010-05-24T00:00:00.000Z,2011-05-23T00:00:00.000Z,2011-05-23T00:00:00.000Z,"Wheeler, George","Marshall, James",KOBA INSTITUTE INC,,9520000 : HUMAN SERVICES,,2018-07-12T16:10:47.000Z,6328
CW9291,Union Temple Housing Corporation,4.000000000000000,Base Period,,JZ0,DEPART OF YOUTH REHABILITATION SERVICES,Human Care Agreements,Firm Fixed Price,Open,900000,2011-12-14T14:05:00.000Z,Closed,2011-05-23T00:00:00.000Z,2011-05-23T00:00:00.000Z,2012-05-22T00:00:00.000Z,Dwight Hayes,Deborah White,UNION TEMPLE BAPTIST CHURCH,,9529500 : Youth Care Services,,2018-07-12T16:10:47.000Z,6329
CW9462,School Bus Maintenace - PM & Repairs Odyssey,4.000000000000000,Base Period,,GD0,STATE SUPERINTENDENT OF EDUCATION (OSSE),Competitive Sealed Bid (IFB),Time And Materials,Open,900000,2011-12-13T21:33:00.000Z,Expired,2011-05-31T00:00:00.000Z,2011-05-31T00:00:00.000Z,2012-05-30T00:00:00.000Z,Gena Johnson,James Roberts,"Odyssey SST Bus and Truck Repair, Inc.",,"9282450 : MAINTENANCE AND REPAIR, SCHOOL BUSES",,2018-07-12T16:10:47.000Z,6330
CW9462,School Bus Maintenace - PM & Repairs Odyssey,4.000000000000000,Base Period,,GO0,SPECIAL EDUCATION TRANSPORTATION,Competitive Sealed Bid (IFB),Time And Materials,Open,900000,2011-12-13T21:33:00.000Z,Expired,2011-05-31T00:00:00.000Z,2011-05-31T00:00:00.000Z,2012-05-30T00:00:00.000Z,Gena Johnson,James Roberts,"Odyssey SST Bus and Truck Repair, Inc.",,"9282450 : MAINTENANCE AND REPAIR, SCHOOL BUSES",,2018-07-12T16:10:47.000Z,6331
CW6794,Vocational Services - Davis Memorial Goodwill 12-10-11 Catalog,3.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Human Care Agreements,Indefinite Delivery Indefinite Quantity,Open,250000,2012-03-12T20:47:00.000Z,Expired,2010-06-01T00:00:00.000Z,2011-06-01T00:00:00.000Z,2012-05-31T00:00:00.000Z,Marsha L. Robinson,Marsha L. Robinson,Davis Memorial Goodwill Industries,,9523900 : Employment Generating Activities,,2018-07-12T16:10:47.000Z,6332
CW9478,Mortality Investigations OY1,3.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Competitive Sealed Proposal (RFP),Indefinite Delivery Indefinite Quantity,Open,270000,2012-10-10T19:42:00.000Z,Closed,2010-05-26T00:00:00.000Z,2011-06-02T00:00:00.000Z,2012-05-31T00:00:00.000Z,T. Nicole Starwood,Janice Parker Watson,LIBERTY HEALTHCARE CORP.,,9180000 : CONSULTING SERVICES,,2018-07-12T16:10:47.000Z,6333
CW9911,DCTO-2010-C-0039 - ONLINE LEARNING MANAGEMENT SYSTEM (LMS),4.000000000000000,Base Period,,TO0,OFFICE OF CHIEF TECHNOLOGY OFFICER,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,165000,2011-06-24T15:05:00.000Z,Expired,2010-06-04T00:00:00.000Z,2011-06-04T00:00:00.000Z,2012-06-03T00:00:00.000Z,Grace Bolanle Alao,"Reid, Lindel",TargetSafety,,"9857400 : Software, Computer, Rental or Lease",,2018-07-12T16:10:47.000Z,6334
CW9924,DCBY-2011-C-0254  Dutch Mill Catering,3.000000000000000,Base Period,,BY0,OFFICE ON AGING,Emergency (Unique),Requirements,Open,11561.8,2012-10-03T19:14:00.000Z,Closed,2011-06-07T00:00:00.000Z,2011-06-07T00:00:00.000Z,2011-07-31T00:00:00.000Z,Rebecca Young,Angela Turner,DUTCHMILL CATERERS,,9185200 : Food Service Consulting,,2018-07-12T16:10:47.000Z,6335
CW9924,DCBY-2011-C-0254  Dutch Mill Catering,3.000000000000000,Base Period,,BY0,OFFICE ON AGING,Emergency (Unique),Requirements,Open,11561.8,2012-10-03T19:14:00.000Z,Closed,2011-06-07T00:00:00.000Z,2011-06-07T00:00:00.000Z,2011-07-31T00:00:00.000Z,Rebecca Young,Angela Turner,DUTCHMILL CATERERS,,9984400 : Food,,2018-07-12T16:10:47.000Z,6336
CW9738,IT - CCTV Hardware - Skyline Network engineering LLC,0.000000000000000,Base Period,,BN0,HOMELAND SECURITY/EMERGENCY MANAGEMENT,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,261000,2013-08-30T16:36:00.000Z,Closed,2011-06-09T00:00:00.000Z,2011-06-09T00:00:00.000Z,2011-07-08T00:00:00.000Z,Chi Hui Yi,"Reid, Lindel",Skyline Network Engineering,,"5509156 : PARTS AND ACCESSORIES, VIDEO IMAGING AND SURVEILLANCE CLOSED CIRCUIT TELEVISION CAMERA (CCTV)",,2018-07-12T16:10:47.000Z,6337
CW10613,DCPO-2010-B-0008-Business Cards-City Wide,3.000000000000000,Base Period,1,,,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,99000,2011-08-04T11:03:00.000Z,Expired,2011-06-10T00:00:00.000Z,2011-06-10T00:00:00.000Z,2012-06-09T00:00:00.000Z,Ruby Nelson,Angela Turner,Formost Advanced Creations,,9660700 : Business Cards Printed,,2018-07-12T16:10:47.000Z,6338
CW9742,DCPO-2011-C-0020 Voter Registration System Upgrade and Web Automation,4.000000000000000,Base Period,,DL0,BOARD OF ELECTIONS,Sole Source,Firm Fixed Price,Open,114925,2011-06-14T14:13:00.000Z,Expired,2011-06-10T00:00:00.000Z,2011-06-10T00:00:00.000Z,2012-06-09T00:00:00.000Z,Eunkyung Choi,"Reid, Lindel",Election Mgmt Consulting Svc,,"9204059 : PROGRAMMING FOR DATABASE WEB DEVELOPMENT ENVIRONMENT (HTML, XML)",,2018-07-12T16:10:47.000Z,6339
CW9927,DCKT-2008-C-0046  Meridian Imaging Solutions ,0.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Sole Source,Firm Fixed Price,Open,44062.89,2012-10-03T19:37:00.000Z,Closed,2011-06-11T00:00:00.000Z,2011-06-11T00:00:00.000Z,2011-09-30T00:00:00.000Z,Rebecca Young,Derrick White,MERIDIAN IMAGING SOLUTIONS,,"9846025 : RENTAL OR LEASE, DIGITAL PRINTER SYSTEMS, INCLUDES MAINTENANCE",,2018-07-12T16:10:47.000Z,6340
CW9927,DCKT-2008-C-0046  Meridian Imaging Solutions ,0.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Sole Source,Firm Fixed Price,Open,44062.89,2012-10-03T19:37:00.000Z,Closed,2011-06-11T00:00:00.000Z,2011-06-11T00:00:00.000Z,2011-09-30T00:00:00.000Z,Rebecca Young,Derrick White,MERIDIAN IMAGING SOLUTIONS,,"9846070 : RENTAL OR LEASE, LASER PRINTERS AND ACCESSORIES",,2018-07-12T16:10:47.000Z,6341
CW9730,2FBUA8 High Resolution Survey Meter Maintenance,1.000000000000000,Base Period,,FB0,FIRE AND EMERGENCY MEDICAL SERVICES,GSA (Federal Supply Schedule),Indefinite Delivery Indefinite Quantity,Set Aside,210000,2011-06-14T15:04:00.000Z,Expired,2011-06-14T00:00:00.000Z,2011-06-14T00:00:00.000Z,2012-06-14T00:00:00.000Z,Derrick White,Derrick White,Federal Resources Supply Company,,9907500 : Rescue and Search Team Services,,2018-07-12T16:10:47.000Z,6342
CW9760,Medical Records Reviewer - Dr. Nicholas,4.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Competitive Sealed Proposal (RFP),Indefinite Delivery Indefinite Quantity,Open,145600,2012-02-21T16:00:00.000Z,Closed,2011-06-10T00:00:00.000Z,2011-06-15T00:00:00.000Z,2012-06-14T00:00:00.000Z,Monica Brown,Marsha L. Robinson,Earl Nicholas,,9187800 : Medical Consulting,,2018-07-12T16:10:47.000Z,6343
CW9760,Medical Records Reviewer - Dr. Nicholas,4.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Competitive Sealed Proposal (RFP),Indefinite Delivery Indefinite Quantity,Open,145600,2012-02-21T16:00:00.000Z,Closed,2011-06-10T00:00:00.000Z,2011-06-15T00:00:00.000Z,2012-06-14T00:00:00.000Z,Monica Brown,Marsha L. Robinson,Earl Nicholas,,"9187850 : CONSULTING SERVICES, MEDICAL",,2018-07-12T16:10:47.000Z,6344
CW10605,DPR Summer Food Service Meals Program,4.000000000000000,Base Period,,HA0,DEPARTMENT OF PARKS AND RECREATION,Competitive Sealed Bid (IFB),Requirements,Open,2278896.85,2013-10-25T20:45:00.000Z,Closed,2011-06-17T00:00:00.000Z,2011-06-17T00:00:00.000Z,2012-06-16T00:00:00.000Z,Yvette Henry,Angela Turner,PREFERRED MEAL SYSTEMS INC,,9523000 : Delivered Meals (Including Shelf Stable Meals),,2018-07-12T16:10:47.000Z,6345
CW9887,IT - IRP & PRISM Support and Services - ACS State and Local Solutions,2.000000000000000,Base Period,,KV0,DEPARTMENT OF MOTOR VEHICLES,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,205473,2012-05-09T13:06:00.000Z,Closed,2011-06-13T00:00:00.000Z,2011-06-17T00:00:00.000Z,2012-06-16T00:00:00.000Z,Crystal McKay,Derrick White,"Conduent State & Local Solutions, Inc",,"5509200 : Vehicle Identification Systems, Automated",,2018-07-12T16:10:47.000Z,6346
CW3642,Fuel Rings,2.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Sole Source,Requirements,Open,100000,2011-06-24T14:25:00.000Z,Expired,2009-06-19T00:00:00.000Z,2011-06-19T00:00:00.000Z,2012-06-18T00:00:00.000Z,Gena Johnson,James Roberts,"EJ WARD, INC.",,7202000 : Control Devices for Motor Fuel Dispensing/Security/Management,,2018-07-12T16:10:47.000Z,6347
CW9904,Histological Testing Services,0.000000000000000,Base Period,,FX0,OFFICE OF THE CHIEF MEDICAL EXAMINER,GSA (Federal Supply Schedule),Indefinite Delivery Indefinite Quantity,Set Aside,18500,2011-07-14T19:11:00.000Z,Expired,2011-06-21T00:00:00.000Z,2011-06-21T00:00:00.000Z,2011-09-30T00:00:00.000Z,Derrick White,Derrick White,Laboratory Corporation of America,,"9485583 : TESTS, CLINICAL LABORATORY, NON-DRUG SCREENING",,2018-07-12T16:10:47.000Z,6348
CW10216,Human Resources Support Services - OY1,3.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,DC Supply Schedule,Requirements,Set Aside,125000,2011-07-12T14:00:00.000Z,Expired,2011-06-20T00:00:00.000Z,2011-06-21T00:00:00.000Z,2012-06-20T00:00:00.000Z,Marsha L. Robinson,Marsha L. Robinson,MIDTOWN PERSONNEL INC,,9616200 : Personnel Services (Not Employment),,2018-07-12T16:10:47.000Z,6349
CW10193,Residential Services-A.W. Holdings dba Benchmark,4.000000000000000,Option 1,,JM0,DEPARTMENT ON DISABILITY SERVICES,Human Care Agreements,Firm Fixed Price,Open,48617.1,2011-09-28T12:26:00.000Z,Expired,2011-06-20T00:00:00.000Z,2011-06-22T00:00:00.000Z,2011-09-30T00:00:00.000Z,Esmeraldo (Rallie) Cruz,Janice Parker Watson,"A.W. Holdings, LLC",,"9529265 : RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",,2018-07-12T16:10:47.000Z,6350
CW10002,DCPO-2011-IFB-0044-HSEMA,0.000000000000000,Base Period,,BN0,HOMELAND SECURITY/EMERGENCY MANAGEMENT,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,994500,2018-05-17T08:39:00.000Z,Closed,2011-06-24T00:00:00.000Z,2011-06-24T00:00:00.000Z,2011-09-30T00:00:00.000Z,Ruby Nelson,Jeffrey Tisdale,Vision Security Solution,,"2062175 : SERVER, TERMINAL, ETHERNET",,2018-07-12T16:10:47.000Z,6351
CW10880,The National Care Group,3.000000000000000,Base Period,,JZ0,DEPART OF YOUTH REHABILITATION SERVICES,Human Care Agreements,Firm Fixed Price,Open,900000,2011-09-14T14:57:00.000Z,Closed,2011-06-24T00:00:00.000Z,2011-06-24T00:00:00.000Z,2012-06-23T00:00:00.000Z,Dwight Hayes,Deborah White,"The National Care Group, Inc.",,9529500 : Youth Care Services,,2018-07-12T16:10:47.000Z,6352
